====================
Prob: 0.2
nodes: 10
Node have file: 1
=====================
ExperimentServent(0x8ce806): result: 1, tx: 15, rx: 10
ExperimentServent(0x8ce81e): result: 1, tx: 4, rx: 9
ExperimentServent(0x8ce818): result: 1, tx: 6, rx: 6
ExperimentServent(0x8d1bf4): result: 1, tx: 13, rx: 10
ExperimentServent(0x8d1d58): result: 1, tx: 17, rx: 14
ExperimentServent(0x8ce820): result: 1, tx: 9, rx: 9
ExperimentServent(0x8ce8e8): result: 1, tx: 5, rx: 10
ExperimentServent(0x8ce858): result: 1, tx: 13, rx: 7
ExperimentServent(0x8d1d60): result: 1, tx: 5, rx: 5
ExperimentServent(0x8ce838): result: 1, tx: 1, rx: 8
=====================
ExperimentServent(0x8f6120): result: 1, tx: 11, rx: 5
ExperimentServent(0x8f6158): result: 1, tx: 6, rx: 6
ExperimentServent(0x8f61e8): result: 1, tx: 6, rx: 6
ExperimentServent(0x8f611e): result: 1, tx: 2, rx: 2
ExperimentServent(0x8f9660): result: 1, tx: 2, rx: 2
ExperimentServent(0x8f6138): result: 1, tx: 2, rx: 2
ExperimentServent(0x8f9658): result: 1, tx: 4, rx: 2
ExperimentServent(0x8f6118): result: 1, tx: 1, rx: 5
ExperimentServent(0x8f6106): result: 1, tx: 1, rx: 5
ExperimentServent(0x8f94f4): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0x93ff58): result: 1, tx: 10, rx: 9
ExperimentServent(0x93ff60): result: 1, tx: 8, rx: 6
ExperimentServent(0x93ca20): result: 1, tx: 4, rx: 4
ExperimentServent(0x93ca58): result: 1, tx: 8, rx: 6
ExperimentServent(0x93ca1e): result: 1, tx: 4, rx: 4
ExperimentServent(0x93ca18): result: 1, tx: 4, rx: 2
ExperimentServent(0x93ca06): result: 1, tx: 2, rx: 2
ExperimentServent(0x93fdf4): result: 1, tx: 1, rx: 6
ExperimentServent(0x93cae8): result: 1, tx: 1, rx: 3
ExperimentServent(0x93ca38): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0x99bc20): result: 1, tx: 10, rx: 7
ExperimentServent(0x99eff4): result: 1, tx: 10, rx: 5
ExperimentServent(0x99bc58): result: 1, tx: 3, rx: 2
ExperimentServent(0x99f158): result: 1, tx: 5, rx: 3
ExperimentServent(0x99bc38): result: 1, tx: 3, rx: 4
ExperimentServent(0x99bc1e): result: 1, tx: 3, rx: 4
ExperimentServent(0x99bc06): result: 1, tx: 2, rx: 4
ExperimentServent(0x99bce8): result: 1, tx: 7, rx: 10
ExperimentServent(0x99bc18): result: 1, tx: 1, rx: 3
ExperimentServent(0x99f160): result: 1, tx: 1, rx: 3
=====================
ExperimentServent(0x9d1a18): result: 1, tx: 3, rx: 6
ExperimentServent(0x9d1a20): result: 1, tx: 7, rx: 3
ExperimentServent(0x9d1ae8): result: 1, tx: 6, rx: 4
ExperimentServent(0x9d1a38): result: 1, tx: 7, rx: 5
ExperimentServent(0x9d1a1e): result: 1, tx: 4, rx: 2
ExperimentServent(0x9d4df4): result: 1, tx: 4, rx: 4
ExperimentServent(0x9d4f60): result: 1, tx: 2, rx: 2
ExperimentServent(0x9d4f58): result: 1, tx: 1, rx: 4
ExperimentServent(0x9d1a58): result: 1, tx: 1, rx: 3
ExperimentServent(0x9d1a06): result: 1, tx: 1, rx: 3
=====================
ExperimentServent(0x88361e): result: 1, tx: 9, rx: 5
ExperimentServent(0x883658): result: 1, tx: 8, rx: 5
ExperimentServent(0x883620): result: 1, tx: 10, rx: 4
ExperimentServent(0x883638): result: 1, tx: 2, rx: 2
ExperimentServent(0x883606): result: 1, tx: 1, rx: 3
ExperimentServent(0x886b60): result: 1, tx: 1, rx: 3
ExperimentServent(0x8869f4): result: 1, tx: 1, rx: 4
ExperimentServent(0x883618): result: 1, tx: 1, rx: 5
ExperimentServent(0x886b58): result: 1, tx: 1, rx: 3
ExperimentServent(0x8836e8): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0x8e01e8): result: 1, tx: 5, rx: 4
ExperimentServent(0x8e0158): result: 1, tx: 5, rx: 7
ExperimentServent(0x8e0120): result: 1, tx: 4, rx: 4
ExperimentServent(0x8e34f4): result: 1, tx: 7, rx: 7
ExperimentServent(0x8e0106): result: 1, tx: 3, rx: 6
ExperimentServent(0x8e3660): result: 1, tx: 7, rx: 5
ExperimentServent(0x8e0118): result: 1, tx: 7, rx: 6
ExperimentServent(0x8e011e): result: 1, tx: 5, rx: 6
ExperimentServent(0x8e3658): result: 1, tx: 4, rx: 2
ExperimentServent(0x8e0138): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0x8b8e38): result: 1, tx: 18, rx: 11
ExperimentServent(0x8b8e58): result: 1, tx: 7, rx: 7
ExperimentServent(0x8b8e1e): result: 1, tx: 6, rx: 6
ExperimentServent(0x8b8e20): result: 1, tx: 4, rx: 3
ExperimentServent(0x8bc360): result: 1, tx: 4, rx: 4
ExperimentServent(0x8b8ee8): result: 1, tx: 4, rx: 6
ExperimentServent(0x8b8e06): result: 1, tx: 3, rx: 6
ExperimentServent(0x8bc358): result: 1, tx: 2, rx: 3
ExperimentServent(0x8bc1f4): result: 1, tx: 5, rx: 4
ExperimentServent(0x8b8e18): result: 1, tx: 1, rx: 4
=====================
ExperimentServent(0x9fa320): result: 1, tx: 7, rx: 7
ExperimentServent(0x9fd6f4): result: 1, tx: 8, rx: 6
ExperimentServent(0x9fa358): result: 1, tx: 15, rx: 10
ExperimentServent(0x9fa318): result: 1, tx: 7, rx: 4
ExperimentServent(0x9fa306): result: 1, tx: 8, rx: 8
ExperimentServent(0x9fa31e): result: 1, tx: 11, rx: 10
ExperimentServent(0x9fa338): result: 1, tx: 4, rx: 9
ExperimentServent(0x9fd860): result: 1, tx: 2, rx: 2
ExperimentServent(0x9fa3e8): result: 1, tx: 1, rx: 7
ExperimentServent(0x9fd858): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0x8decf4): result: 1, tx: 11, rx: 5
ExperimentServent(0x8db9e8): result: 1, tx: 7, rx: 5
ExperimentServent(0x8db920): result: 1, tx: 4, rx: 3
ExperimentServent(0x8db958): result: 1, tx: 8, rx: 6
ExperimentServent(0x8db906): result: 1, tx: 4, rx: 5
ExperimentServent(0x8db938): result: 1, tx: 2, rx: 5
ExperimentServent(0x8dee58): result: 1, tx: 3, rx: 5
ExperimentServent(0x8db918): result: 1, tx: 4, rx: 2
ExperimentServent(0x8db91e): result: 1, tx: 4, rx: 5
ExperimentServent(0x8dee60): result: 1, tx: 1, rx: 7
=====================
ExperimentServent(0x99e806): result: 1, tx: 5, rx: 5
ExperimentServent(0x99e8e8): result: 1, tx: 6, rx: 6
ExperimentServent(0x99e820): result: 1, tx: 4, rx: 4
ExperimentServent(0x9a1bf4): result: 1, tx: 5, rx: 4
ExperimentServent(0x9a1d60): result: 1, tx: 3, rx: 5
ExperimentServent(0x99e838): result: 1, tx: 3, rx: 4
ExperimentServent(0x9a1d58): result: 1, tx: 3, rx: 3
ExperimentServent(0x99e81e): result: 1, tx: 3, rx: 3
ExperimentServent(0x99e818): result: 1, tx: 4, rx: 2
ExperimentServent(0x99e858): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0x97a720): result: 1, tx: 7, rx: 4
ExperimentServent(0x97daf4): result: 1, tx: 11, rx: 8
ExperimentServent(0x97dc58): result: 1, tx: 7, rx: 6
ExperimentServent(0x97a738): result: 1, tx: 5, rx: 4
ExperimentServent(0x97a718): result: 1, tx: 3, rx: 4
ExperimentServent(0x97a71e): result: 1, tx: 4, rx: 3
ExperimentServent(0x97a706): result: 1, tx: 2, rx: 2
ExperimentServent(0x97a7e8): result: 1, tx: 1, rx: 2
ExperimentServent(0x97dc60): result: 1, tx: 1, rx: 7
ExperimentServent(0x97a758): result: 1, tx: 1, rx: 2
=====================
ExperimentServent(0x99a006): result: 1, tx: 13, rx: 6
ExperimentServent(0x99a058): result: 1, tx: 5, rx: 3
ExperimentServent(0x99a020): result: 1, tx: 4, rx: 3
ExperimentServent(0x99d3f4): result: 1, tx: 1, rx: 3
ExperimentServent(0x99a038): result: 1, tx: 1, rx: 3
ExperimentServent(0x99d560): result: 1, tx: 1, rx: 4
ExperimentServent(0x99a0e8): result: 1, tx: 1, rx: 1
ExperimentServent(0x99d558): result: 1, tx: 1, rx: 3
ExperimentServent(0x99a01e): result: 1, tx: 1, rx: 1
ExperimentServent(0x99a018): result: 1, tx: 1, rx: 2
=====================
ExperimentServent(0x9e7318): result: 1, tx: 11, rx: 6
ExperimentServent(0x9e7306): result: 1, tx: 13, rx: 8
ExperimentServent(0x9e7358): result: 1, tx: 5, rx: 5
ExperimentServent(0x9ea858): result: 1, tx: 4, rx: 5
ExperimentServent(0x9ea860): result: 1, tx: 4, rx: 7
ExperimentServent(0x9ea6f4): result: 1, tx: 2, rx: 2
ExperimentServent(0x9e7320): result: 1, tx: 1, rx: 3
ExperimentServent(0x9e73e8): result: 1, tx: 2, rx: 2
ExperimentServent(0x9e7338): result: 1, tx: 1, rx: 5
ExperimentServent(0x9e731e): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0x9bac58): result: 1, tx: 12, rx: 7
ExperimentServent(0x9b7706): result: 1, tx: 3, rx: 6
ExperimentServent(0x9b77e8): result: 1, tx: 18, rx: 8
ExperimentServent(0x9baaf4): result: 1, tx: 8, rx: 5
ExperimentServent(0x9bac60): result: 1, tx: 7, rx: 10
ExperimentServent(0x9b7758): result: 1, tx: 4, rx: 2
ExperimentServent(0x9b7720): result: 1, tx: 1, rx: 4
ExperimentServent(0x9b7738): result: 1, tx: 1, rx: 4
ExperimentServent(0x9b7718): result: 1, tx: 1, rx: 5
ExperimentServent(0x9b771e): result: 1, tx: 1, rx: 5
=====================
ExperimentServent(0x94f458): result: 1, tx: 5, rx: 4
ExperimentServent(0x94f420): result: 1, tx: 4, rx: 3
ExperimentServent(0x94f41e): result: 1, tx: 4, rx: 3
ExperimentServent(0x94f418): result: 1, tx: 5, rx: 5
ExperimentServent(0x952960): result: 1, tx: 7, rx: 6
ExperimentServent(0x94f406): result: 1, tx: 3, rx: 6
ExperimentServent(0x9527f4): result: 1, tx: 4, rx: 5
ExperimentServent(0x952958): result: 1, tx: 6, rx: 5
ExperimentServent(0x94f4e8): result: 1, tx: 3, rx: 4
ExperimentServent(0x94f438): result: 1, tx: 1, rx: 1
