====================
Prob: 0.5
nodes: 10
Node have file: 5
=====================1
tx: 2 rx: 6
tx: 2 rx: 5
tx: 9 rx: 9
tx: 7 rx: 4
tx: 7 rx: 4
tx: 1 rx: 2
tx: 8 rx: 3
tx: 3 rx: 5
tx: 2 rx: 3
tx: 1 rx: 1
=======================2
tx: 7 rx: 11
tx: 15 rx: 6
tx: 6 rx: 6
tx: 2 rx: 5
tx: 2 rx: 5
tx: 16 rx: 9
tx: 2 rx: 5
tx: 2 rx: 5
tx: 1 rx: 1
tx: 1 rx: 1
========================3
tx: 13 rx: 13
tx: 2 rx: 6
tx: 11 rx: 4
tx: 10 rx: 6
tx: 2 rx: 4
tx: 3 rx: 5
tx: 11 rx: 5
tx: 2 rx: 5
tx: 2 rx: 6
tx: 2 rx: 4
==========================4
tx: 2 rx: 5
tx: 3 rx: 7
tx: 2 rx: 4
tx: 7 rx: 8
tx: 12 rx: 6
tx: 3 rx: 4
tx: 1 rx: 1
tx: 10 rx: 4
tx: 3 rx: 4
tx: 3 rx: 3
============================5
tx: 2 rx: 7
tx: 9 rx: 4
tx: 7 rx: 13
tx: 9 rx: 8
tx: 1 rx: 2
tx: 2 rx: 3
tx: 2 rx: 4
tx: 10 rx: 6
tx: 1 rx: 1
tx: 11 rx: 6
==============================6
tx: 2 rx: 6
tx: 1 rx: 2
tx: 6 rx: 5
tx: 2 rx: 3
tx: 1 rx: 3
tx: 12 rx: 6
tx: 7 rx: 4
tx: 2 rx: 4
tx: 6 rx: 3
tx: 11 rx: 14
===============================7
tx: 2 rx: 4
tx: 7 rx: 6
tx: 7 rx: 9
tx: 5 rx: 5
tx: 9 rx: 5
tx: 2 rx: 4
tx: 2 rx: 3
tx: 7 rx: 5
tx: 1 rx: 1
tx: 0 rx: 0
==================================8
tx: 27 rx: 12
tx: 3 rx: 9
tx: 10 rx: 14
tx: 15 rx: 8
tx: 2 rx: 5
tx: 7 rx: 11
tx: 2 rx: 5
tx: 2 rx: 6
tx: 5 rx: 3
tx: 0 rx: 0
===================================9
tx: 2 rx: 3
tx: 13 rx: 6
tx: 5 rx: 3
tx: 4 rx: 2
tx: 2 rx: 5
tx: 1 rx: 3
tx: 1 rx: 3
tx: 3 rx: 6
tx: 1 rx: 1
tx: 1 rx: 1
===================================10
tx: 2 rx: 3
tx: 1 rx: 3
tx: 5 rx: 3
tx: 4 rx: 5
tx: 2 rx: 4
tx: 5 rx: 2
tx: 1 rx: 1
tx: 5 rx: 5
tx: 7 rx: 3
tx: 1 rx: 4

