====================
density: 0.3
nodes: 20
Node have file: 1
=====================
ExperimentServent(0x94851e): result: 1, tx: 42, rx: 30
ExperimentServent(0x948506): result: 1, tx: 18, rx: 12
ExperimentServent(0x94ba70): result: 1, tx: 19, rx: 13
ExperimentServent(0x9485e8): result: 1, tx: 13, rx: 11
ExperimentServent(0x94ba82): result: 1, tx: 13, rx: 13
ExperimentServent(0x948538): result: 1, tx: 9, rx: 8
ExperimentServent(0x948518): result: 1, tx: 10, rx: 22
ExperimentServent(0x94ba58): result: 1, tx: 16, rx: 12
ExperimentServent(0x94b8f4): result: 1, tx: 12, rx: 12
ExperimentServent(0x948558): result: 1, tx: 9, rx: 11
ExperimentServent(0x94ba60): result: 1, tx: 7, rx: 8
ExperimentServent(0x948520): result: 1, tx: 11, rx: 8
ExperimentServent(0x94baaa): result: 1, tx: 10, rx: 12
ExperimentServent(0x94babe): result: 1, tx: 20, rx: 19
ExperimentServent(0x94ba96): result: 1, tx: 26, rx: 22
ExperimentServent(0x94ba68): result: 1, tx: 5, rx: 12
ExperimentServent(0x94baa0): result: 1, tx: 3, rx: 10
ExperimentServent(0x94bab4): result: 1, tx: 10, rx: 18
ExperimentServent(0x94ba78): result: 1, tx: 4, rx: 4
ExperimentServent(0x94ba8c): result: 1, tx: 8, rx: 8
=====================
ExperimentServent(0x9e8258): result: 1, tx: 11, rx: 11
ExperimentServent(0x9eb760): result: 1, tx: 21, rx: 28
ExperimentServent(0x9e8218): result: 1, tx: 22, rx: 15
ExperimentServent(0x9e82e8): result: 1, tx: 39, rx: 29
ExperimentServent(0x9eb770): result: 1, tx: 10, rx: 12
ExperimentServent(0x9eb5f4): result: 1, tx: 16, rx: 16
ExperimentServent(0x9eb768): result: 1, tx: 15, rx: 13
ExperimentServent(0x9eb7be): result: 1, tx: 10, rx: 20
ExperimentServent(0x9eb758): result: 1, tx: 24, rx: 28
ExperimentServent(0x9eb78c): result: 1, tx: 26, rx: 24
ExperimentServent(0x9e8220): result: 1, tx: 8, rx: 9
ExperimentServent(0x9eb7a0): result: 1, tx: 16, rx: 15
ExperimentServent(0x9e8206): result: 1, tx: 3, rx: 9
ExperimentServent(0x9eb782): result: 1, tx: 16, rx: 12
ExperimentServent(0x9e821e): result: 1, tx: 20, rx: 28
ExperimentServent(0x9eb7b4): result: 1, tx: 27, rx: 21
ExperimentServent(0x9e8238): result: 1, tx: 16, rx: 13
ExperimentServent(0x9eb778): result: 1, tx: 10, rx: 8
ExperimentServent(0x9eb796): result: 1, tx: 15, rx: 11
ExperimentServent(0x9eb7aa): result: 1, tx: 3, rx: 6
=====================
ExperimentServent(0x8d7b20): result: 1, tx: 25, rx: 16
ExperimentServent(0x8db08c): result: 1, tx: 24, rx: 21
ExperimentServent(0x8d7b58): result: 1, tx: 13, rx: 14
ExperimentServent(0x8db082): result: 1, tx: 31, rx: 19
ExperimentServent(0x8d7b06): result: 1, tx: 17, rx: 16
ExperimentServent(0x8d7b38): result: 1, tx: 13, rx: 18
