====================
density: 0.3
nodes: 20
Node have file: 2
=====================
ExperimentServent(0x8f8c60): result: 1, tx: 19, rx: 39
ExperimentServent(0x8f5720): result: 1, tx: 9, rx: 8
ExperimentServent(0x8f5706): result: 1, tx: 16, rx: 12
ExperimentServent(0x8f5718): result: 1, tx: 17, rx: 17
ExperimentServent(0x8f5758): result: 1, tx: 17, rx: 9
ExperimentServent(0x8f57e8): result: 1, tx: 17, rx: 13
ExperimentServent(0x8f5738): result: 1, tx: 12, rx: 10
ExperimentServent(0x8f8c70): result: 1, tx: 17, rx: 25
ExperimentServent(0x8f8c58): result: 1, tx: 14, rx: 11
ExperimentServent(0x8f8caa): result: 1, tx: 14, rx: 14
ExperimentServent(0x8f8cb4): result: 1, tx: 16, rx: 14
ExperimentServent(0x8f8af4): result: 1, tx: 8, rx: 9
ExperimentServent(0x8f8c8c): result: 1, tx: 9, rx: 7
ExperimentServent(0x8f8c96): result: 1, tx: 40, rx: 31
ExperimentServent(0x8f8ca0): result: 1, tx: 11, rx: 8
ExperimentServent(0x8f8c78): result: 1, tx: 20, rx: 17
ExperimentServent(0x8f8c82): result: 1, tx: 35, rx: 27
ExperimentServent(0x8f571e): result: 1, tx: 7, rx: 11
ExperimentServent(0x8f8cbe): result: 1, tx: 4, rx: 19
ExperimentServent(0x8f8c68): result: 1, tx: 2, rx: 3
=====================
ExperimentServent(0x92ae58): result: 1, tx: 13, rx: 22
ExperimentServent(0x92ae38): result: 1, tx: 25, rx: 36
ExperimentServent(0x92ae20): result: 1, tx: 11, rx: 20
ExperimentServent(0x92e1f4): result: 1, tx: 20, rx: 20
ExperimentServent(0x92e370): result: 1, tx: 30, rx: 26
ExperimentServent(0x92ae06): result: 1, tx: 18, rx: 15
ExperimentServent(0x92e38c): result: 1, tx: 12, rx: 15
ExperimentServent(0x92aee8): result: 1, tx: 24, rx: 20
ExperimentServent(0x92e358): result: 1, tx: 4, rx: 18
ExperimentServent(0x92e360): result: 1, tx: 18, rx: 16
ExperimentServent(0x92e3a0): result: 1, tx: 30, rx: 26
ExperimentServent(0x92e396): result: 1, tx: 15, rx: 12
ExperimentServent(0x92e3aa): result: 1, tx: 16, rx: 27
ExperimentServent(0x92e3be): result: 1, tx: 39, rx: 34
ExperimentServent(0x92ae18): result: 1, tx: 14, rx: 13
ExperimentServent(0x92e368): result: 1, tx: 23, rx: 19
ExperimentServent(0x92e3b4): result: 1, tx: 37, rx: 27
ExperimentServent(0x92e382): result: 1, tx: 18, rx: 18
