====================
Prob: 0.5
nodes: 40
Node have file: 10
===================================================1
ExperimentServent(0x9b9a20): result: 1, tx: 31, rx: 33
ExperimentServent(0x9b9aec): result: 1, tx: 48, rx: 44
ExperimentServent(0x9baaa6): result: 1, tx: 34, rx: 61
ExperimentServent(0x9baa22): result: 1, tx: 5, rx: 44
ExperimentServent(0x9baaba): result: 1, tx: 5, rx: 56
ExperimentServent(0x9baa56): result: 1, tx: 55, rx: 50
ExperimentServent(0x9baa9c): result: 1, tx: 70, rx: 54
ExperimentServent(0x9baab0): result: 1, tx: 5, rx: 65
ExperimentServent(0x9baa1a): result: 1, tx: 68, rx: 45
ExperimentServent(0x9baa2a): result: 1, tx: 35, rx: 44
ExperimentServent(0x9baa42): result: 1, tx: 5, rx: 36
ExperimentServent(0x9b9a3c): result: 1, tx: 40, rx: 48
ExperimentServent(0x9baaf6): result: 1, tx: 105, rx: 55
ExperimentServent(0x9baf3e): result: 1, tx: 81, rx: 216
ExperimentServent(0x9b9a72): result: 1, tx: 82, rx: 57
ExperimentServent(0x9baa88): result: 1, tx: 77, rx: 46
ExperimentServent(0x9baa92): result: 1, tx: 40, rx: 34
ExperimentServent(0x9baf0c): result: 1, tx: 5, rx: 41
ExperimentServent(0x9baa32): result: 1, tx: 5, rx: 51
ExperimentServent(0x9baa6a): result: 1, tx: 60, rx: 47
ExperimentServent(0x9baf2a): result: 1, tx: 80, rx: 79
ExperimentServent(0x9baaec): result: 1, tx: 92, rx: 139
ExperimentServent(0x9baace): result: 1, tx: 98, rx: 72
ExperimentServent(0x9baac4): result: 1, tx: 63, rx: 49
ExperimentServent(0x9baa74): result: 1, tx: 121, rx: 72
ExperimentServent(0x9baf34): result: 1, tx: 48, rx: 39
ExperimentServent(0x9baa60): result: 1, tx: 66, rx: 40
ExperimentServent(0x9baf20): result: 1, tx: 123, rx: 84
ExperimentServent(0x9baf52): result: 1, tx: 151, rx: 107
ExperimentServent(0x9baf02): result: 1, tx: 143, rx: 92
ExperimentServent(0x9baa4c): result: 1, tx: 216, rx: 154
ExperimentServent(0x9baa3a): result: 1, tx: 117, rx: 70
ExperimentServent(0x9baae2): result: 1, tx: 88, rx: 55
ExperimentServent(0x9baf16): result: 1, tx: 5, rx: 46
ExperimentServent(0x9baa7e): result: 1, tx: 65, rx: 36
ExperimentServent(0x9baf48): result: 1, tx: 95, rx: 51
ExperimentServent(0x9baad8): result: 1, tx: 4, rx: 28
=================================================================2
ExperimentServent(0xa4388a): result: 1, tx: 5, rx: 44
ExperimentServent(0xa43858): result: 1, tx: 5, rx: 42
ExperimentServent(0xa4383c): result: 1, tx: 83, rx: 51
ExperimentServent(0xa438f8): result: 1, tx: 202, rx: 151
ExperimentServent(0xa428ec): result: 1, tx: 81, rx: 45
ExperimentServent(0xa43880): result: 1, tx: 5, rx: 44
ExperimentServent(0xa4384e): result: 1, tx: 61, rx: 46
ExperimentServent(0xa43894): result: 1, tx: 5, rx: 49
ExperimentServent(0xa43824): result: 1, tx: 5, rx: 43
ExperimentServent(0xa43862): result: 1, tx: 93, rx: 53
ExperimentServent(0xa4386c): result: 1, tx: 54, rx: 33
ExperimentServent(0xa4382c): result: 1, tx: 81, rx: 124
ExperimentServent(0xa4389e): result: 1, tx: 62, rx: 31
ExperimentServent(0xa43876): result: 1, tx: 124, rx: 75
ExperimentServent(0xa43d12): result: 1, tx: 125, rx: 79
ExperimentServent(0xa438a8): result: 1, tx: 57, rx: 33
ExperimentServent(0xa4381c): result: 1, tx: 24, rx: 23
ExperimentServent(0xa43d06): result: 1, tx: 67, rx: 54
ExperimentServent(0xa438d0): result: 1, tx: 24, rx: 37
ExperimentServent(0xa43d1a): result: 1, tx: 5, rx: 40
ExperimentServent(0xa43d30): result: 1, tx: 94, rx: 209
ExperimentServent(0xa438ee): result: 1, tx: 100, rx: 63
ExperimentServent(0xa438e4): result: 1, tx: 30, rx: 45
ExperimentServent(0xa438c6): result: 1, tx: 30, rx: 22
ExperimentServent(0xa43d50): result: 1, tx: 5, rx: 36
ExperimentServent(0xa43d26): result: 1, tx: 125, rx: 62
ExperimentServent(0xa438da): result: 1, tx: 85, rx: 200
ExperimentServent(0xa438bc): result: 1, tx: 204, rx: 134
ExperimentServent(0xa43d3e): result: 1, tx: 5, rx: 35
ExperimentServent(0xa43d36): result: 1, tx: 5, rx: 55
ExperimentServent(0xa438b2): result: 1, tx: 62, rx: 37
ExperimentServent(0xa43d4a): result: 1, tx: 103, rx: 58
===============================================================3
ExperimentServent(0x9fe32c): result: 1, tx: 42, rx: 40
ExperimentServent(0x9fe3a8): result: 1, tx: 4, rx: 38
ExperimentServent(0x9fd372): result: 1, tx: 119, rx: 230
ExperimentServent(0x9fe31c): result: 1, tx: 29, rx: 44
ExperimentServent(0x9fe334): result: 1, tx: 60, rx: 40
ExperimentServent(0x9fd30a): result: 1, tx: 4, rx: 21
ExperimentServent(0x9fd310): result: 1, tx: 87, rx: 46
ExperimentServent(0x9fe3c6): result: 1, tx: 48, rx: 40
ExperimentServent(0x9fe324): result: 1, tx: 40, rx: 36
ExperimentServent(0x9fe36c): result: 1, tx: 132, rx: 89
ExperimentServent(0x9fd322): result: 1, tx: 3, rx: 11
ExperimentServent(0x9fd320): result: 1, tx: 70, rx: 46
ExperimentServent(0x9fd3ec): result: 1, tx: 35, rx: 29
ExperimentServent(0x9fe38a): result: 1, tx: 46, rx: 39
ExperimentServent(0x9fe394): result: 1, tx: 74, rx: 38
ExperimentServent(0x9fe836): result: 1, tx: 29, rx: 25
ExperimentServent(0x9fe380): result: 1, tx: 39, rx: 37
ExperimentServent(0x9fe3f8): result: 1, tx: 48, rx: 105
ExperimentServent(0x9fe376): result: 1, tx: 4, rx: 46
ExperimentServent(0x9fe39e): result: 1, tx: 39, rx: 28
ExperimentServent(0x9fe3e4): result: 1, tx: 4, rx: 39
ExperimentServent(0x9fe852): result: 1, tx: 65, rx: 67
ExperimentServent(0x9fd33c): result: 1, tx: 69, rx: 47
ExperimentServent(0x9fe804): result: 1, tx: 4, rx: 32
ExperimentServent(0x9fe818): result: 1, tx: 4, rx: 35
ExperimentServent(0x9fe362): result: 1, tx: 100, rx: 72
ExperimentServent(0x9fe3da): result: 1, tx: 35, rx: 27
ExperimentServent(0x9fe3ee): result: 1, tx: 4, rx: 35
ExperimentServent(0x9fe3d0): result: 1, tx: 23, rx: 29
ExperimentServent(0x9fe344): result: 1, tx: 4, rx: 30
ExperimentServent(0x9fe358): result: 1, tx: 49, rx: 41
ExperimentServent(0x9fe80e): result: 1, tx: 113, rx: 60
ExperimentServent(0x9fe82c): result: 1, tx: 78, rx: 43
ExperimentServent(0x9fe822): result: 1, tx: 60, rx: 35
ExperimentServent(0x9fe33c): result: 1, tx: 44, rx: 41
ExperimentServent(0x9fe3bc): result: 1, tx: 71, rx: 40
ExperimentServent(0x9fe840): result: 1, tx: 68, rx: 40
ExperimentServent(0x9fe34e): result: 1, tx: 41, rx: 25
ExperimentServent(0x9fe3b2): result: 1, tx: 49, rx: 36
ExperimentServent(0x9fe846): result: 1, tx: 4, rx: 39
=================================================================4
ExperimentServent(0xa68d2c): result: 1, tx: 34, rx: 39
ExperimentServent(0xa68d4e): result: 1, tx: 4, rx: 37
ExperimentServent(0xa68dee): result: 1, tx: 23, rx: 35
ExperimentServent(0xa68d24): result: 1, tx: 4, rx: 43
ExperimentServent(0xa67dec): result: 1, tx: 71, rx: 47
