====================
Prob: 0.6
nodes: 40
Node have file: 15
=====================1
ExperimentServent(0x9835b0): result: 1, tx: 5, rx: 46
ExperimentServent(0x983532): result: 1, tx: 25, rx: 33
ExperimentServent(0x982522): result: 1, tx: 116, rx: 54
ExperimentServent(0x983588): result: 1, tx: 161, rx: 77
ExperimentServent(0x9835a6): result: 1, tx: 61, rx: 42
ExperimentServent(0x9825ec): result: 1, tx: 4, rx: 27
ExperimentServent(0x9835c4): result: 1, tx: 51, rx: 29
ExperimentServent(0x9835e2): result: 1, tx: 71, rx: 43
ExperimentServent(0x983556): result: 1, tx: 90, rx: 56
ExperimentServent(0x98357e): result: 1, tx: 90, rx: 88
ExperimentServent(0x98351a): result: 1, tx: 6, rx: 40
ExperimentServent(0x983a1e): result: 1, tx: 5, rx: 35
ExperimentServent(0x983542): result: 1, tx: 91, rx: 41
ExperimentServent(0x98354c): result: 1, tx: 30, rx: 52
ExperimentServent(0x983574): result: 1, tx: 70, rx: 41
ExperimentServent(0x983592): result: 1, tx: 148, rx: 81
ExperimentServent(0x983a0c): result: 1, tx: 6, rx: 43
ExperimentServent(0x9835ba): result: 1, tx: 93, rx: 53
ExperimentServent(0x983560): result: 1, tx: 123, rx: 183
ExperimentServent(0x983a16): result: 1, tx: 89, rx: 64
ExperimentServent(0x983a26): result: 1, tx: 6, rx: 38
ExperimentServent(0x9835d8): result: 1, tx: 123, rx: 79
ExperimentServent(0x983a02): result: 1, tx: 5, rx: 40
ExperimentServent(0x9835ec): result: 1, tx: 5, rx: 28
ExperimentServent(0x9835f6): result: 1, tx: 5, rx: 37
ExperimentServent(0x98356a): result: 1, tx: 122, rx: 172
ExperimentServent(0x98352a): result: 1, tx: 75, rx: 45
ExperimentServent(0x983a3e): result: 1, tx: 4, rx: 34
ExperimentServent(0x98353a): result: 1, tx: 90, rx: 44
ExperimentServent(0x982572): result: 1, tx: 6, rx: 47
ExperimentServent(0x9835ce): result: 1, tx: 4, rx: 32
ExperimentServent(0x983a36): result: 1, tx: 6, rx: 43
ExperimentServent(0x983a2e): result: 1, tx: 33, rx: 30
ExperimentServent(0x983a48): result: 1, tx: 116, rx: 197
============================================================2
ExperimentServent(0xa1d976): result: 1, tx: 4, rx: 51
ExperimentServent(0xa1c93c): result: 1, tx: 4, rx: 39
ExperimentServent(0xa1d962): result: 1, tx: 93, rx: 53
ExperimentServent(0xa1d99e): result: 1, tx: 35, rx: 43
ExperimentServent(0xa1d944): result: 1, tx: 4, rx: 43
ExperimentServent(0xa1d92c): result: 1, tx: 82, rx: 44
ExperimentServent(0xa1d94e): result: 1, tx: 5, rx: 33
ExperimentServent(0xa1d924): result: 1, tx: 5, rx: 53
ExperimentServent(0xa1d994): result: 1, tx: 50, rx: 39
ExperimentServent(0xa1d9e4): result: 1, tx: 100, rx: 87
ExperimentServent(0xa1d98a): result: 1, tx: 4, rx: 38
ExperimentServent(0xa1d980): result: 1, tx: 3, rx: 40
ExperimentServent(0xa1d958): result: 1, tx: 111, rx: 75
ExperimentServent(0xa1de28): result: 1, tx: 5, rx: 40
ExperimentServent(0xa1d9c6): result: 1, tx: 131, rx: 90
ExperimentServent(0xa1de38): result: 1, tx: 144, rx: 75
ExperimentServent(0xa1d9da): result: 1, tx: 103, rx: 142
ExperimentServent(0xa1de04): result: 1, tx: 121, rx: 71
ExperimentServent(0xa1d9ee): result: 1, tx: 3, rx: 37
ExperimentServent(0xa1d96c): result: 1, tx: 69, rx: 45
ExperimentServent(0xa1de20): result: 1, tx: 5, rx: 53
ExperimentServent(0xa1d9a8): result: 1, tx: 74, rx: 40
ExperimentServent(0xa1de30): result: 1, tx: 97, rx: 48
ExperimentServent(0xa1d9f8): result: 1, tx: 101, rx: 38
ExperimentServent(0xa1de48): result: 1, tx: 34, rx: 34
ExperimentServent(0xa1d9d0): result: 1, tx: 129, rx: 49
ExperimentServent(0xa1d9bc): result: 1, tx: 79, rx: 88
ExperimentServent(0xa1de18): result: 1, tx: 4, rx: 43
ExperimentServent(0xa1de0e): result: 1, tx: 5, rx: 51
ExperimentServent(0xa1d9b2): result: 1, tx: 56, rx: 87
ExperimentServent(0xa1de40): result: 1, tx: 105, rx: 45
==============================================================3
ExperimentServent(0x96dd20): result: 1, tx: 5, rx: 47
ExperimentServent(0x96ed2a): result: 1, tx: 101, rx: 47
ExperimentServent(0x96dd0a): result: 1, tx: 34, rx: 83
ExperimentServent(0x96ed60): result: 1, tx: 5, rx: 18
ExperimentServent(0x96ed22): result: 1, tx: 106, rx: 53
ExperimentServent(0x96f23e): result: 1, tx: 5, rx: 29
ExperimentServent(0x96ed32): result: 1, tx: 138, rx: 101
ExperimentServent(0x96f238): result: 1, tx: 32, rx: 32
ExperimentServent(0x96ed9c): result: 1, tx: 32, rx: 28
ExperimentServent(0x96ed3a): result: 1, tx: 3, rx: 21
ExperimentServent(0x96ed88): result: 1, tx: 53, rx: 39
ExperimentServent(0x96ed6a): result: 1, tx: 45, rx: 17
ExperimentServent(0x96ed4c): result: 1, tx: 5, rx: 44
ExperimentServent(0x96ed1a): result: 1, tx: 5, rx: 46
ExperimentServent(0x96f22e): result: 1, tx: 121, rx: 59
ExperimentServent(0x96f21e): result: 1, tx: 129, rx: 72
ExperimentServent(0x96f202): result: 1, tx: 232, rx: 177
ExperimentServent(0x96edc4): result: 1, tx: 5, rx: 43
ExperimentServent(0x96ed56): result: 1, tx: 91, rx: 73
ExperimentServent(0x96ede2): result: 1, tx: 124, rx: 86
ExperimentServent(0x96ed7e): result: 1, tx: 81, rx: 49
ExperimentServent(0x96edd8): result: 1, tx: 126, rx: 74
ExperimentServent(0x96ed92): result: 1, tx: 5, rx: 48
ExperimentServent(0x96ddec): result: 1, tx: 5, rx: 49
ExperimentServent(0x96f246): result: 1, tx: 5, rx: 38
ExperimentServent(0x96edba): result: 1, tx: 155, rx: 250
ExperimentServent(0x96f226): result: 1, tx: 86, rx: 108
ExperimentServent(0x96edb0): result: 1, tx: 5, rx: 39
ExperimentServent(0x96edce): result: 1, tx: 98, rx: 64
ExperimentServent(0x96edf6): result: 1, tx: 88, rx: 194
ExperimentServent(0x96ed74): result: 1, tx: 92, rx: 41
ExperimentServent(0x96f216): result: 1, tx: 5, rx: 37
ExperimentServent(0x96edec): result: 1, tx: 161, rx: 97
ExperimentServent(0x96f20c): result: 1, tx: 69, rx: 45
ExperimentServent(0x96eda6): result: 1, tx: 191, rx: 105
==================================================================4
ExperimentServent(0x99592a): result: 1, tx: 113, rx: 49
ExperimentServent(0x99594c): result: 1, tx: 56, rx: 36
ExperimentServent(0x99591a): result: 1, tx: 4, rx: 33
ExperimentServent(0x9959e2): result: 1, tx: 4, rx: 45
ExperimentServent(0x9959a6): result: 1, tx: 4, rx: 43
ExperimentServent(0x995942): result: 1, tx: 38, rx: 50
ExperimentServent(0x995992): result: 1, tx: 44, rx: 65
ExperimentServent(0x995932): result: 1, tx: 33, rx: 36
ExperimentServent(0x995988): result: 1, tx: 141, rx: 53
ExperimentServent(0x9959c4): result: 1, tx: 5, rx: 44
ExperimentServent(0x995e02): result: 1, tx: 4, rx: 47
ExperimentServent(0x99597e): result: 1, tx: 169, rx: 84
ExperimentServent(0x9959ec): result: 1, tx: 4, rx: 50
ExperimentServent(0x9959ba): result: 1, tx: 119, rx: 67
ExperimentServent(0x995e0c): result: 1, tx: 75, rx: 36
ExperimentServent(0x99599c): result: 1, tx: 4, rx: 37
ExperimentServent(0x9959ce): result: 1, tx: 42, rx: 49
ExperimentServent(0x9959b0): result: 1, tx: 4, rx: 47
ExperimentServent(0x995e46): result: 1, tx: 4, rx: 46
ExperimentServent(0x995e16): result: 1, tx: 177, rx: 91
ExperimentServent(0x9959d8): result: 1, tx: 145, rx: 90
ExperimentServent(0x9959f6): result: 1, tx: 108, rx: 52
ExperimentServent(0x995e1e): result: 1, tx: 91, rx: 163
ExperimentServent(0x995e36): result: 1, tx: 140, rx: 102
ExperimentServent(0x995e40): result: 1, tx: 154, rx: 70
ExperimentServent(0x995e2e): result: 1, tx: 142, rx: 78
ExperimentServent(0x995e26): result: 1, tx: 142, rx: 307
================================================================5
ExperimentServent(0x96c120): result: 1, tx: 39, rx: 40
ExperimentServent(0x96c1ec): result: 1, tx: 27, rx: 31
ExperimentServent(0x96d18a): result: 1, tx: 31, rx: 35
ExperimentServent(0x96d1ee): result: 1, tx: 5, rx: 39
ExperimentServent(0x96c122): result: 1, tx: 148, rx: 79
ExperimentServent(0x96d1e4): result: 1, tx: 96, rx: 46
ExperimentServent(0x96d1a8): result: 1, tx: 5, rx: 53
ExperimentServent(0x96d12c): result: 1, tx: 89, rx: 61
ExperimentServent(0x96d1b2): result: 1, tx: 74, rx: 32
ExperimentServent(0x96d162): result: 1, tx: 5, rx: 51
ExperimentServent(0x96d13c): result: 1, tx: 57, rx: 37
ExperimentServent(0x96d176): result: 1, tx: 5, rx: 49
ExperimentServent(0x96d194): result: 1, tx: 87, rx: 47
ExperimentServent(0x96d604): result: 1, tx: 48, rx: 33
ExperimentServent(0x96d1d0): result: 1, tx: 5, rx: 44
ExperimentServent(0x96d134): result: 1, tx: 170, rx: 117
ExperimentServent(0x96d19e): result: 1, tx: 95, rx: 182
ExperimentServent(0x96d1c6): result: 1, tx: 50, rx: 49
ExperimentServent(0x96c13c): result: 1, tx: 119, rx: 179
ExperimentServent(0x96d1da): result: 1, tx: 163, rx: 61
ExperimentServent(0x96d11c): result: 1, tx: 5, rx: 32
ExperimentServent(0x96d630): result: 1, tx: 5, rx: 31
ExperimentServent(0x96d1f8): result: 1, tx: 167, rx: 85
ExperimentServent(0x96d618): result: 1, tx: 83, rx: 42
ExperimentServent(0x96d638): result: 1, tx: 62, rx: 49
ExperimentServent(0x96d144): result: 1, tx: 129, rx: 115
ExperimentServent(0x96d628): result: 1, tx: 5, rx: 36
ExperimentServent(0x96d648): result: 1, tx: 5, rx: 51
ExperimentServent(0x96d620): result: 1, tx: 5, rx: 45
ExperimentServent(0x96d180): result: 1, tx: 5, rx: 30
ExperimentServent(0x96d60e): result: 1, tx: 5, rx: 40
ExperimentServent(0x96d16c): result: 1, tx: 119, rx: 61
ExperimentServent(0x96d158): result: 1, tx: 5, rx: 38
ExperimentServent(0x96d1bc): result: 1, tx: 116, rx: 50
