====================
density: 0.5
nodes: 10
Node have file: 1
=====================
ExperimentServent(0xb7412fcc): result: 1, tx: 22, rx: 18
ExperimentServent(0xb739fe6c): result: 1, tx: 13, rx: 15
ExperimentServent(0xb7414dac): result: 1, tx: 16, rx: 17
ExperimentServent(0xb741410c): result: 1, tx: 17, rx: 13
ExperimentServent(0xb74142ac): result: 1, tx: 12, rx: 12
ExperimentServent(0xb7412fac): result: 1, tx: 8, rx: 12
ExperimentServent(0xb73a252c): result: 1, tx: 8, rx: 9
ExperimentServent(0xb741448c): result: 1, tx: 6, rx: 6
ExperimentServent(0xb741406c): result: 1, tx: 4, rx: 4
ExperimentServent(0xb73a24ac): result: 1, tx: 5, rx: 5
=====================
ExperimentServent(0xb7425fac): result: 1, tx: 65, rx: 29
ExperimentServent(0xb73b552c): result: 1, tx: 56, rx: 33
ExperimentServent(0xb7427dac): result: 1, tx: 9, rx: 43
ExperimentServent(0xb7425fcc): result: 1, tx: 21, rx: 19
ExperimentServent(0xb742748c): result: 1, tx: 18, rx: 16
ExperimentServent(0xb73b2e6c): result: 1, tx: 33, rx: 28
ExperimentServent(0xb73b54ac): result: 1, tx: 11, rx: 23
ExperimentServent(0xb74272ac): result: 1, tx: 20, rx: 34
ExperimentServent(0xb742706c): result: 1, tx: 15, rx: 25
ExperimentServent(0xb742710c): result: 1, tx: 11, rx: 9
=====================
ExperimentServent(0xb7444fac): result: 1, tx: 32, rx: 25
ExperimentServent(0xb73d1e6c): result: 1, tx: 39, rx: 24
ExperimentServent(0xb7444fcc): result: 1, tx: 25, rx: 23
ExperimentServent(0xb73d452c): result: 1, tx: 20, rx: 33
ExperimentServent(0xb744610c): result: 1, tx: 26, rx: 17
ExperimentServent(0xb744606c): result: 1, tx: 9, rx: 41
ExperimentServent(0xb73d44ac): result: 1, tx: 27, rx: 32
ExperimentServent(0xb744648c): result: 1, tx: 11, rx: 16
ExperimentServent(0xb74462ac): result: 1, tx: 25, rx: 20
ExperimentServent(0xb7446dac): result: 1, tx: 47, rx: 30
=====================
ExperimentServent(0xb740bfac): result: 1, tx: 42, rx: 26
ExperimentServent(0xb740d2ac): result: 1, tx: 48, rx: 37
ExperimentServent(0xb740d48c): result: 1, tx: 9, rx: 37
ExperimentServent(0xb740d10c): result: 1, tx: 38, rx: 23
ExperimentServent(0xb740bfcc): result: 1, tx: 47, rx: 33
ExperimentServent(0xb740d06c): result: 1, tx: 23, rx: 19
ExperimentServent(0xb7398e6c): result: 1, tx: 12, rx: 17
ExperimentServent(0xb739b52c): result: 1, tx: 14, rx: 25
ExperimentServent(0xb739b4ac): result: 1, tx: 9, rx: 15
ExperimentServent(0xb740ddac): result: 1, tx: 18, rx: 28
=====================
ExperimentServent(0xb74d206c): result: 1, tx: 42, rx: 29
ExperimentServent(0xb74d0fac): result: 1, tx: 42, rx: 35
ExperimentServent(0xb74d248c): result: 1, tx: 25, rx: 35
ExperimentServent(0xb74d0fcc): result: 1, tx: 9, rx: 25
