====================
density: 0.2
nodes: 10
Node have file: 2
=====================
ExperimentServent(0xb7497dcc): result: 1, tx: 39, rx: 24
ExperimentServent(0xb74970ac): result: 1, tx: 24, rx: 20
ExperimentServent(0xb7495fcc): result: 1, tx: 9, rx: 12
ExperimentServent(0xb749714c): result: 1, tx: 8, rx: 11
ExperimentServent(0xb74972cc): result: 1, tx: 6, rx: 11
ExperimentServent(0xb74974cc): result: 1, tx: 17, rx: 12
ExperimentServent(0xb74244cc): result: 1, tx: 6, rx: 8
ExperimentServent(0xb749712c): result: 1, tx: 6, rx: 6
ExperimentServent(0xb742454c): result: 1, tx: 4, rx: 9
ExperimentServent(0xb7421e8c): result: 1, tx: 1, rx: 7
=====================
ExperimentServent(0xb736d52c): result: 1, tx: 16, rx: 13
ExperimentServent(0xb73defac): result: 1, tx: 17, rx: 13
ExperimentServent(0xb73e048c): result: 1, tx: 22, rx: 16
ExperimentServent(0xb73e006c): result: 1, tx: 31, rx: 24
ExperimentServent(0xb73e010c): result: 1, tx: 12, rx: 17
ExperimentServent(0xb73e0dac): result: 1, tx: 7, rx: 13
ExperimentServent(0xb736ae6c): result: 1, tx: 6, rx: 9
ExperimentServent(0xb736d4ac): result: 1, tx: 5, rx: 11
ExperimentServent(0xb73defcc): result: 1, tx: 5, rx: 5
ExperimentServent(0xb73e02ac): result: 1, tx: 4, rx: 4
=====================
ExperimentServent(0xb7455fcc): result: 1, tx: 8, rx: 6
ExperimentServent(0xb74572cc): result: 1, tx: 6, rx: 5
ExperimentServent(0xb745714c): result: 1, tx: 5, rx: 5
ExperimentServent(0xb7457dcc): result: 1, tx: 4, rx: 4
ExperimentServent(0xb73e1e8c): result: 1, tx: 4, rx: 4
ExperimentServent(0xb74570ac): result: 1, tx: 4, rx: 3
ExperimentServent(0xb73e454c): result: 1, tx: 2, rx: 3
ExperimentServent(0xb73e44cc): result: 1, tx: 1, rx: 2
ExperimentServent(0xb745712c): result: 1, tx: 2, rx: 3
ExperimentServent(0xb74574cc): result: 1, tx: 1, rx: 2
=====================
ExperimentServent(0xb73ed14c): result: 1, tx: 16, rx: 18
ExperimentServent(0xb73eddcc): result: 1, tx: 26, rx: 21
ExperimentServent(0xb73ebfcc): result: 1, tx: 18, rx: 16
ExperimentServent(0xb73ed2cc): result: 1, tx: 15, rx: 15
ExperimentServent(0xb73ed4cc): result: 1, tx: 8, rx: 11
ExperimentServent(0xb737a54c): result: 1, tx: 7, rx: 8
ExperimentServent(0xb73ed0ac): result: 1, tx: 6, rx: 6
ExperimentServent(0xb73ed12c): result: 1, tx: 4, rx: 5
ExperimentServent(0xb7377e8c): result: 1, tx: 2, rx: 2
ExperimentServent(0xb737a4cc): result: 1, tx: 1, rx: 1
=====================
ExperimentServent(0xb744afac): result: 1, tx: 13, rx: 12
ExperimentServent(0xb744cdac): result: 1, tx: 21, rx: 21
ExperimentServent(0xb744c06c): result: 1, tx: 14, rx: 13
ExperimentServent(0xb73d94ac): result: 1, tx: 16, rx: 14
ExperimentServent(0xb73d6e6c): result: 1, tx: 16, rx: 12
ExperimentServent(0xb744c48c): result: 1, tx: 8, rx: 10
ExperimentServent(0xb744c2ac): result: 1, tx: 7, rx: 9
ExperimentServent(0xb744c10c): result: 1, tx: 5, rx: 8
ExperimentServent(0xb744afcc): result: 1, tx: 5, rx: 6
ExperimentServent(0xb73d952c): result: 1, tx: 5, rx: 5
=====================
