====================
density: 0.3
nodes: 20
Node have file: 1
=====================
ExperimentServent(0xb73d3a6c): result: 1, tx: 23, rx: 21
ExperimentServent(0xb73d37ec): result: 1, tx: 29, rx: 32
ExperimentServent(0xb73d0e6c): result: 1, tx: 56, rx: 35
ExperimentServent(0xb73d388c): result: 1, tx: 22, rx: 53
ExperimentServent(0xb7446dcc): result: 1, tx: 30, rx: 25
ExperimentServent(0xb744614c): result: 1, tx: 3, rx: 3
ExperimentServent(0xb73d3b0c): result: 1, tx: 12, rx: 18
ExperimentServent(0xb74460ac): result: 1, tx: 35, rx: 34
ExperimentServent(0xb744612c): result: 1, tx: 35, rx: 39
ExperimentServent(0xb73d352c): result: 1, tx: 47, rx: 24
ExperimentServent(0xb73d39cc): result: 1, tx: 35, rx: 36
ExperimentServent(0xb73d36ac): result: 1, tx: 27, rx: 23
ExperimentServent(0xb73d392c): result: 1, tx: 72, rx: 49
ExperimentServent(0xb73d34ac): result: 1, tx: 27, rx: 20
ExperimentServent(0xb73d374c): result: 1, tx: 37, rx: 51
ExperimentServent(0xb73d362c): result: 1, tx: 96, rx: 63
=====================
ExperimentServent(0xb743db2c): result: 1, tx: 39, rx: 53
ExperimentServent(0xb74b014c): result: 1, tx: 25, rx: 81
ExperimentServent(0xb74b00ac): result: 1, tx: 39, rx: 64
ExperimentServent(0xb743d6cc): result: 1, tx: 19, rx: 92
ExperimentServent(0xb743d4cc): result: 1, tx: 18, rx: 21
ExperimentServent(0xb743d94c): result: 1, tx: 50, rx: 57
ExperimentServent(0xb743d54c): result: 1, tx: 66, rx: 53
ExperimentServent(0xb74b02cc): result: 1, tx: 21, rx: 35
ExperimentServent(0xb743ae8c): result: 1, tx: 123, rx: 92
ExperimentServent(0xb74b0dcc): result: 1, tx: 67, rx: 46
ExperimentServent(0xb74b012c): result: 1, tx: 60, rx: 64
ExperimentServent(0xb743d64c): result: 1, tx: 97, rx: 83
ExperimentServent(0xb743d8ac): result: 1, tx: 42, rx: 56
ExperimentServent(0xb743d5cc): result: 1, tx: 33, rx: 102
ExperimentServent(0xb743d9ec): result: 1, tx: 102, rx: 81
ExperimentServent(0xb743d80c): result: 1, tx: 149, rx: 90
ExperimentServent(0xb743da8c): result: 1, tx: 96, rx: 67
=====================
ExperimentServent(0xb744a76c): result: 1, tx: 50, rx: 87
ExperimentServent(0xb744aa8c): result: 1, tx: 35, rx: 72
ExperimentServent(0xb744a5cc): result: 1, tx: 23, rx: 33
ExperimentServent(0xb744a6cc): result: 1, tx: 147, rx: 123
ExperimentServent(0xb74bd4cc): result: 1, tx: 73, rx: 75
ExperimentServent(0xb7447e8c): result: 1, tx: 39, rx: 48
ExperimentServent(0xb74bd12c): result: 1, tx: 22, rx: 55
ExperimentServent(0xb74bddcc): result: 1, tx: 42, rx: 39
ExperimentServent(0xb744a54c): result: 1, tx: 50, rx: 44
ExperimentServent(0xb744a80c): result: 1, tx: 151, rx: 94
ExperimentServent(0xb74bd0ac): result: 1, tx: 17, rx: 89
ExperimentServent(0xb74bd2cc): result: 1, tx: 18, rx: 30
ExperimentServent(0xb744a64c): result: 1, tx: 105, rx: 69
ExperimentServent(0xb744a4cc): result: 1, tx: 94, rx: 70
ExperimentServent(0xb744ab2c): result: 1, tx: 101, rx: 91
ExperimentServent(0xb744a8ac): result: 1, tx: 31, rx: 66
ExperimentServent(0xb744a9ec): result: 1, tx: 108, rx: 95
=====================
ExperimentServent(0xb73d8b2c): result: 1, tx: 25, rx: 37
ExperimentServent(0xb7449fcc): result: 1, tx: 72, rx: 54
ExperimentServent(0xb73d88ac): result: 1, tx: 69, rx: 62
ExperimentServent(0xb744bdcc): result: 1, tx: 104, rx: 76
ExperimentServent(0xb73d84cc): result: 1, tx: 31, rx: 40
ExperimentServent(0xb73d854c): result: 1, tx: 50, rx: 40
ExperimentServent(0xb73d8a8c): result: 1, tx: 26, rx: 51
ExperimentServent(0xb744b12c): result: 1, tx: 20, rx: 43
ExperimentServent(0xb73d880c): result: 1, tx: 95, rx: 69
ExperimentServent(0xb73d85cc): result: 1, tx: 43, rx: 61
ExperimentServent(0xb73d894c): result: 1, tx: 17, rx: 64
ExperimentServent(0xb73d89ec): result: 1, tx: 112, rx: 89
=====================
ExperimentServent(0xb7412e8c): result: 1, tx: 126, rx: 91
ExperimentServent(0xb741554c): result: 1, tx: 122, rx: 81
ExperimentServent(0xb741576c): result: 1, tx: 122, rx: 76
ExperimentServent(0xb7488dcc): result: 1, tx: 106, rx: 73
ExperimentServent(0xb74156cc): result: 1, tx: 77, rx: 58
ExperimentServent(0xb748814c): result: 1, tx: 156, rx: 90
ExperimentServent(0xb748812c): result: 1, tx: 71, rx: 89
ExperimentServent(0xb74155cc): result: 1, tx: 49, rx: 67
ExperimentServent(0xb741564c): result: 1, tx: 61, rx: 74
ExperimentServent(0xb74884cc): result: 1, tx: 37, rx: 87
ExperimentServent(0xb74158ac): result: 1, tx: 45, rx: 93
ExperimentServent(0xb74880ac): result: 1, tx: 78, rx: 56
ExperimentServent(0xb74882cc): result: 1, tx: 46, rx: 54
ExperimentServent(0xb7415b2c): result: 1, tx: 92, rx: 66
ExperimentServent(0xb741594c): result: 1, tx: 28, rx: 85
ExperimentServent(0xb74154cc): result: 1, tx: 54, rx: 41
ExperimentServent(0xb7415a8c): result: 1, tx: 24, rx: 82
ExperimentServent(0xb7486fcc): result: 1, tx: 20, rx: 36
ExperimentServent(0xb741580c): result: 1, tx: 13, rx: 35
ExperimentServent(0xb74159ec): result: 1, tx: 93, rx: 86
=====================
ExperimentServent(0xb737ea8c): result: 1, tx: 45, rx: 83
ExperimentServent(0xb737e54c): result: 1, tx: 51, rx: 40
ExperimentServent(0xb737e80c): result: 1, tx: 36, rx: 40
ExperimentServent(0xb73f112c): result: 1, tx: 68, rx: 62
ExperimentServent(0xb737e6cc): result: 1, tx: 41, rx: 70
ExperimentServent(0xb737e94c): result: 1, tx: 81, rx: 71
ExperimentServent(0xb737e8ac): result: 1, tx: 68, rx: 61
ExperimentServent(0xb737e9ec): result: 1, tx: 24, rx: 55
ExperimentServent(0xb737be8c): result: 1, tx: 16, rx: 43
ExperimentServent(0xb737e76c): result: 1, tx: 24, rx: 49
ExperimentServent(0xb737e64c): result: 1, tx: 91, rx: 72
ExperimentServent(0xb73f12cc): result: 1, tx: 22, rx: 18
ExperimentServent(0xb737e5cc): result: 1, tx: 82, rx: 61
ExperimentServent(0xb737e4cc): result: 1, tx: 112, rx: 77
ExperimentServent(0xb737eb2c): result: 1, tx: 87, rx: 98
=====================
ExperimentServent(0xb7416b2c): result: 1, tx: 30, rx: 81
ExperimentServent(0xb741676c): result: 1, tx: 18, rx: 20
ExperimentServent(0xb748912c): result: 1, tx: 64, rx: 49
ExperimentServent(0xb7489dcc): result: 1, tx: 100, rx: 96
ExperimentServent(0xb74164cc): result: 1, tx: 65, rx: 67
ExperimentServent(0xb741664c): result: 1, tx: 86, rx: 69
ExperimentServent(0xb741694c): result: 1, tx: 70, rx: 61
ExperimentServent(0xb74894cc): result: 1, tx: 59, rx: 76
ExperimentServent(0xb74169ec): result: 1, tx: 27, rx: 63
ExperimentServent(0xb74168ac): result: 1, tx: 70, rx: 65
ExperimentServent(0xb741654c): result: 1, tx: 74, rx: 50
ExperimentServent(0xb74892cc): result: 1, tx: 43, rx: 32
ExperimentServent(0xb74166cc): result: 1, tx: 49, rx: 47
ExperimentServent(0xb741680c): result: 1, tx: 31, rx: 50
ExperimentServent(0xb7413e8c): result: 1, tx: 44, rx: 67
ExperimentServent(0xb7416a8c): result: 1, tx: 16, rx: 48
=====================
ExperimentServent(0xb73715cc): result: 1, tx: 15, rx: 39
ExperimentServent(0xb73719ec): result: 1, tx: 35, rx: 60
ExperimentServent(0xb73e44cc): result: 1, tx: 35, rx: 43
ExperimentServent(0xb737176c): result: 1, tx: 84, rx: 69
ExperimentServent(0xb73716cc): result: 1, tx: 33, rx: 30
ExperimentServent(0xb73718ac): result: 1, tx: 18, rx: 33
ExperimentServent(0xb7371b2c): result: 1, tx: 22, rx: 69
ExperimentServent(0xb73e412c): result: 1, tx: 67, rx: 71
