====================
density: 0.3
nodes: 20
Node have file: 2
=====================
ExperimentServent(0xb746548c): result: 1, tx: 139, rx: 95
ExperimentServent(0xb73f252c): result: 1, tx: 67, rx: 66
ExperimentServent(0xb73f262c): result: 1, tx: 145, rx: 117
ExperimentServent(0xb7465dac): result: 1, tx: 31, rx: 64
ExperimentServent(0xb73efe6c): result: 1, tx: 63, rx: 66
ExperimentServent(0xb73f2b0c): result: 1, tx: 33, rx: 63
ExperimentServent(0xb73f26ac): result: 1, tx: 127, rx: 97
ExperimentServent(0xb73f2a6c): result: 1, tx: 46, rx: 56
ExperimentServent(0xb746510c): result: 1, tx: 69, rx: 47
ExperimentServent(0xb73f288c): result: 1, tx: 38, rx: 56
ExperimentServent(0xb73f27ec): result: 1, tx: 53, rx: 51
ExperimentServent(0xb746506c): result: 1, tx: 68, rx: 49
ExperimentServent(0xb73f274c): result: 1, tx: 54, rx: 89
ExperimentServent(0xb73f292c): result: 1, tx: 197, rx: 121
ExperimentServent(0xb73f24ac): result: 1, tx: 17, rx: 46
ExperimentServent(0xb7463fac): result: 1, tx: 30, rx: 40
ExperimentServent(0xb73f25ac): result: 1, tx: 13, rx: 52
ExperimentServent(0xb7463fcc): result: 1, tx: 46, rx: 42
ExperimentServent(0xb73f29cc): result: 1, tx: 27, rx: 40
ExperimentServent(0xb74652ac): result: 1, tx: 18, rx: 24
=====================
ExperimentServent(0xb7457dac): result: 1, tx: 66, rx: 59
ExperimentServent(0xb73e458c): result: 1, tx: 70, rx: 60
ExperimentServent(0xb73e2e4c): result: 1, tx: 24, rx: 57
ExperimentServent(0xb745706c): result: 1, tx: 156, rx: 111
ExperimentServent(0xb7455fcc): result: 1, tx: 24, rx: 68
ExperimentServent(0xb73e47cc): result: 1, tx: 112, rx: 77
ExperimentServent(0xb73e490c): result: 1, tx: 107, rx: 69
ExperimentServent(0xb73e49ac): result: 1, tx: 104, rx: 94
ExperimentServent(0xb73e448c): result: 1, tx: 46, rx: 43
ExperimentServent(0xb73e468c): result: 1, tx: 35, rx: 45
ExperimentServent(0xb73e450c): result: 1, tx: 29, rx: 37
ExperimentServent(0xb73e4a4c): result: 1, tx: 98, rx: 96
ExperimentServent(0xb73e486c): result: 1, tx: 17, rx: 69
ExperimentServent(0xb74572ac): result: 1, tx: 27, rx: 26
ExperimentServent(0xb73e472c): result: 1, tx: 30, rx: 30
ExperimentServent(0xb745748c): result: 1, tx: 30, rx: 27
ExperimentServent(0xb73e460c): result: 1, tx: 20, rx: 29
ExperimentServent(0xb745710c): result: 1, tx: 14, rx: 15
ExperimentServent(0xb7455fac): result: 1, tx: 9, rx: 10
ExperimentServent(0xb73e4aec): result: 1, tx: 14, rx: 10
=====================
ExperimentServent(0xb747ffcc): result: 1, tx: 26, rx: 101
ExperimentServent(0xb740e74c): result: 1, tx: 113, rx: 80
ExperimentServent(0xb747ffac): result: 1, tx: 78, rx: 49
ExperimentServent(0xb740e7ec): result: 1, tx: 75, rx: 57
ExperimentServent(0xb740e4ac): result: 1, tx: 132, rx: 77
ExperimentServent(0xb7481dac): result: 1, tx: 73, rx: 45
ExperimentServent(0xb74812ac): result: 1, tx: 29, rx: 55
ExperimentServent(0xb740eb0c): result: 1, tx: 79, rx: 69
ExperimentServent(0xb740e5ac): result: 1, tx: 89, rx: 62
ExperimentServent(0xb748148c): result: 1, tx: 14, rx: 52
ExperimentServent(0xb748110c): result: 1, tx: 69, rx: 55
ExperimentServent(0xb748106c): result: 1, tx: 30, rx: 49
ExperimentServent(0xb740e62c): result: 1, tx: 87, rx: 75
ExperimentServent(0xb740e52c): result: 1, tx: 47, rx: 67
ExperimentServent(0xb740e88c): result: 1, tx: 37, rx: 58
ExperimentServent(0xb740e6ac): result: 1, tx: 31, rx: 85
ExperimentServent(0xb740ea6c): result: 1, tx: 55, rx: 56
ExperimentServent(0xb740be6c): result: 1, tx: 35, rx: 35
ExperimentServent(0xb740e92c): result: 1, tx: 82, rx: 47
ExperimentServent(0xb740e9cc): result: 1, tx: 8, rx: 15
=====================
ExperimentServent(0xb745992c): result: 1, tx: 104, rx: 90
ExperimentServent(0xb7459b0c): result: 1, tx: 17, rx: 94
ExperimentServent(0xb74cc48c): result: 1, tx: 43, rx: 74
ExperimentServent(0xb74cc06c): result: 1, tx: 16, rx: 67
ExperimentServent(0xb7456e6c): result: 1, tx: 95, rx: 70
ExperimentServent(0xb74cafac): result: 1, tx: 149, rx: 99
ExperimentServent(0xb74595ac): result: 1, tx: 68, rx: 69
ExperimentServent(0xb745952c): result: 1, tx: 27, rx: 93
ExperimentServent(0xb74cc10c): result: 1, tx: 54, rx: 56
ExperimentServent(0xb74596ac): result: 1, tx: 137, rx: 90
ExperimentServent(0xb74594ac): result: 1, tx: 43, rx: 55
ExperimentServent(0xb74ccdac): result: 1, tx: 61, rx: 51
ExperimentServent(0xb745988c): result: 1, tx: 167, rx: 114
ExperimentServent(0xb74cafcc): result: 1, tx: 105, rx: 79
ExperimentServent(0xb745962c): result: 1, tx: 37, rx: 59
ExperimentServent(0xb74599cc): result: 1, tx: 117, rx: 60
ExperimentServent(0xb7459a6c): result: 1, tx: 36, rx: 48
ExperimentServent(0xb74597ec): result: 1, tx: 35, rx: 39
ExperimentServent(0xb745974c): result: 1, tx: 23, rx: 24
ExperimentServent(0xb74cc2ac): result: 1, tx: 18, rx: 21
=====================
ExperimentServent(0xb7488fcc): result: 1, tx: 90, rx: 83
ExperimentServent(0xb7488fac): result: 1, tx: 86, rx: 68
ExperimentServent(0xb748a2ac): result: 1, tx: 16, rx: 60
ExperimentServent(0xb748a06c): result: 1, tx: 66, rx: 85
ExperimentServent(0xb748a48c): result: 1, tx: 25, rx: 63
ExperimentServent(0xb74175ac): result: 1, tx: 137, rx: 99
ExperimentServent(0xb741792c): result: 1, tx: 112, rx: 96
ExperimentServent(0xb748a10c): result: 1, tx: 122, rx: 97
ExperimentServent(0xb748adac): result: 1, tx: 60, rx: 79
ExperimentServent(0xb74176ac): result: 1, tx: 32, rx: 47
ExperimentServent(0xb74174ac): result: 1, tx: 48, rx: 46
ExperimentServent(0xb74179cc): result: 1, tx: 148, rx: 99
ExperimentServent(0xb74177ec): result: 1, tx: 34, rx: 54
ExperimentServent(0xb741762c): result: 1, tx: 21, rx: 40
ExperimentServent(0xb7414e6c): result: 1, tx: 106, rx: 74
ExperimentServent(0xb7417a6c): result: 1, tx: 83, rx: 78
ExperimentServent(0xb741752c): result: 1, tx: 17, rx: 38
ExperimentServent(0xb7417b0c): result: 1, tx: 30, rx: 37
ExperimentServent(0xb741788c): result: 1, tx: 53, rx: 34
ExperimentServent(0xb741774c): result: 1, tx: 15, rx: 24
=====================
ExperimentServent(0xb742b06c): result: 1, tx: 126, rx: 75
ExperimentServent(0xb73b852c): result: 1, tx: 21, rx: 59
ExperimentServent(0xb742b48c): result: 1, tx: 81, rx: 75
ExperimentServent(0xb73b84ac): result: 1, tx: 34, rx: 70
ExperimentServent(0xb7429fac): result: 1, tx: 66, rx: 45
ExperimentServent(0xb742b2ac): result: 1, tx: 16, rx: 51
ExperimentServent(0xb73b86ac): result: 1, tx: 99, rx: 87
ExperimentServent(0xb742bdac): result: 1, tx: 60, rx: 44
ExperimentServent(0xb73b862c): result: 1, tx: 15, rx: 36
ExperimentServent(0xb73b892c): result: 1, tx: 89, rx: 74
ExperimentServent(0xb73b85ac): result: 1, tx: 43, rx: 28
ExperimentServent(0xb73b8a6c): result: 1, tx: 33, rx: 38
ExperimentServent(0xb73b87ec): result: 1, tx: 67, rx: 52
ExperimentServent(0xb7429fcc): result: 1, tx: 41, rx: 42
ExperimentServent(0xb73b89cc): result: 1, tx: 34, rx: 42
ExperimentServent(0xb73b5e6c): result: 1, tx: 26, rx: 30
ExperimentServent(0xb73b888c): result: 1, tx: 37, rx: 29
ExperimentServent(0xb73b874c): result: 1, tx: 90, rx: 74
ExperimentServent(0xb742b10c): result: 1, tx: 22, rx: 31
ExperimentServent(0xb73b8b0c): result: 1, tx: 17, rx: 35
=====================
ExperimentServent(0xb73a552c): result: 1, tx: 72, rx: 51
ExperimentServent(0xb73a562c): result: 1, tx: 67, rx: 61
ExperimentServent(0xb74182ac): result: 1, tx: 72, rx: 54
ExperimentServent(0xb741848c): result: 1, tx: 99, rx: 81
ExperimentServent(0xb73a55ac): result: 1, tx: 101, rx: 80
ExperimentServent(0xb7416fac): result: 1, tx: 75, rx: 70
ExperimentServent(0xb741810c): result: 1, tx: 32, rx: 50
ExperimentServent(0xb7416fcc): result: 1, tx: 48, rx: 38
ExperimentServent(0xb73a57ec): result: 1, tx: 54, rx: 49
ExperimentServent(0xb73a2e6c): result: 1, tx: 24, rx: 46
ExperimentServent(0xb73a54ac): result: 1, tx: 153, rx: 95
ExperimentServent(0xb73a592c): result: 1, tx: 28, rx: 56
ExperimentServent(0xb73a56ac): result: 1, tx: 37, rx: 43
ExperimentServent(0xb73a574c): result: 1, tx: 21, rx: 50
ExperimentServent(0xb73a5b0c): result: 1, tx: 44, rx: 44
ExperimentServent(0xb73a59cc): result: 1, tx: 15, rx: 35
ExperimentServent(0xb741806c): result: 1, tx: 23, rx: 29
ExperimentServent(0xb7418dac): result: 1, tx: 11, rx: 25
ExperimentServent(0xb73a5a6c): result: 1, tx: 31, rx: 50
ExperimentServent(0xb73a588c): result: 1, tx: 9, rx: 9
=====================
ExperimentServent(0xb73b892c): result: 1, tx: 56, rx: 45
ExperimentServent(0xb742b10c): result: 1, tx: 50, rx: 45
ExperimentServent(0xb73b84ac): result: 1, tx: 14, rx: 48
ExperimentServent(0xb73b5e6c): result: 1, tx: 80, rx: 55
ExperimentServent(0xb73b85ac): result: 1, tx: 65, rx: 51
ExperimentServent(0xb73b888c): result: 1, tx: 82, rx: 58
ExperimentServent(0xb742bdac): result: 1, tx: 39, rx: 60
ExperimentServent(0xb73b87ec): result: 1, tx: 65, rx: 55
ExperimentServent(0xb742b2ac): result: 1, tx: 45, rx: 33
ExperimentServent(0xb73b86ac): result: 1, tx: 16, rx: 36
ExperimentServent(0xb73b89cc): result: 1, tx: 14, rx: 36
ExperimentServent(0xb7429fac): result: 1, tx: 23, rx: 31
ExperimentServent(0xb73b852c): result: 1, tx: 36, rx: 33
ExperimentServent(0xb73b8a6c): result: 1, tx: 46, rx: 53
ExperimentServent(0xb73b8b0c): result: 1, tx: 43, rx: 32
ExperimentServent(0xb73b874c): result: 1, tx: 26, rx: 30
ExperimentServent(0xb73b862c): result: 1, tx: 22, rx: 21
