====================
density: 0.4
nodes: 30
Node have file: 1
=====================
ExperimentServent(0xb748a2ac): result: 1, tx: 49, rx: 174
ExperimentServent(0xb741788c): result: 1, tx: 302, rx: 221
ExperimentServent(0xb7417b0c): result: 1, tx: 183, rx: 124
ExperimentServent(0xb7414e6c): result: 1, tx: 44, rx: 150
ExperimentServent(0xb7488fac): result: 1, tx: 335, rx: 198
ExperimentServent(0xb74175ac): result: 1, tx: 175, rx: 156
ExperimentServent(0xb7417e2c): result: 1, tx: 164, rx: 183
ExperimentServent(0xb7417cec): result: 1, tx: 57, rx: 122
ExperimentServent(0xb7488fcc): result: 1, tx: 230, rx: 167
ExperimentServent(0xb748adac): result: 1, tx: 74, rx: 100
ExperimentServent(0xb748a06c): result: 1, tx: 226, rx: 209
ExperimentServent(0xb741752c): result: 1, tx: 248, rx: 138
ExperimentServent(0xb7417c4c): result: 1, tx: 116, rx: 119
ExperimentServent(0xb74174ac): result: 1, tx: 39, rx: 146
ExperimentServent(0xb7417bac): result: 1, tx: 92, rx: 173
ExperimentServent(0xb7417fac): result: 1, tx: 93, rx: 90
ExperimentServent(0xb748a48c): result: 1, tx: 121, rx: 147
ExperimentServent(0xb741d14c): result: 1, tx: 189, rx: 133
ExperimentServent(0xb7417a6c): result: 1, tx: 141, rx: 158
ExperimentServent(0xb748a10c): result: 1, tx: 215, rx: 179
ExperimentServent(0xb7417d8c): result: 1, tx: 132, rx: 176
ExperimentServent(0xb74179cc): result: 1, tx: 276, rx: 230
ExperimentServent(0xb741792c): result: 1, tx: 71, rx: 149
ExperimentServent(0xb741774c): result: 1, tx: 85, rx: 78
ExperimentServent(0xb741d1cc): result: 1, tx: 27, rx: 130
ExperimentServent(0xb74177ec): result: 1, tx: 65, rx: 91
ExperimentServent(0xb741762c): result: 1, tx: 58, rx: 92
ExperimentServent(0xb74176ac): result: 1, tx: 108, rx: 146
ExperimentServent(0xb741d08c): result: 1, tx: 461, rx: 286
ExperimentServent(0xb7417eec): result: 1, tx: 308, rx: 219
=====================
ExperimentServent(0xb736fbac): result: 1, tx: 28, rx: 196
ExperimentServent(0xb73e0fcc): result: 1, tx: 325, rx: 205
ExperimentServent(0xb736fa6c): result: 1, tx: 269, rx: 160
ExperimentServent(0xb73e248c): result: 1, tx: 52, rx: 209
ExperimentServent(0xb736f92c): result: 1, tx: 102, rx: 193
ExperimentServent(0xb736f74c): result: 1, tx: 86, rx: 140
ExperimentServent(0xb736fb0c): result: 1, tx: 360, rx: 226
ExperimentServent(0xb73e210c): result: 1, tx: 87, rx: 207
ExperimentServent(0xb737506c): result: 1, tx: 181, rx: 139
ExperimentServent(0xb736f62c): result: 1, tx: 226, rx: 235
ExperimentServent(0xb736f4ac): result: 1, tx: 105, rx: 121
ExperimentServent(0xb73e22ac): result: 1, tx: 51, rx: 118
ExperimentServent(0xb736f9cc): result: 1, tx: 227, rx: 192
ExperimentServent(0xb73e0fac): result: 1, tx: 137, rx: 116
ExperimentServent(0xb73e2dac): result: 1, tx: 94, rx: 149
ExperimentServent(0xb736f52c): result: 1, tx: 32, rx: 137
ExperimentServent(0xb736f7ec): result: 1, tx: 108, rx: 104
ExperimentServent(0xb736fc4c): result: 1, tx: 304, rx: 227
ExperimentServent(0xb73751ec): result: 1, tx: 52, rx: 113
ExperimentServent(0xb73e206c): result: 1, tx: 163, rx: 134
ExperimentServent(0xb736f6ac): result: 1, tx: 112, rx: 190
ExperimentServent(0xb736fd8c): result: 1, tx: 186, rx: 132
ExperimentServent(0xb736ce6c): result: 1, tx: 190, rx: 234
ExperimentServent(0xb736fcec): result: 1, tx: 270, rx: 201
ExperimentServent(0xb736ff8c): result: 1, tx: 257, rx: 175
ExperimentServent(0xb736f88c): result: 1, tx: 173, rx: 222
ExperimentServent(0xb736f5ac): result: 1, tx: 273, rx: 233
ExperimentServent(0xb736fe2c): result: 1, tx: 294, rx: 227
ExperimentServent(0xb736fecc): result: 1, tx: 279, rx: 203
ExperimentServent(0xb737512c): result: 1, tx: 390, rx: 275
=====================
ExperimentServent(0xb746dfac): result: 1, tx: 143, rx: 254
